		Time			Cycle	PC		Insn	Decoded instruction	Register and memory contents
           1335	       132	800001f8	0000	c.unimp	
           1345	       133	800001fc	0000	c.unimp	
           1355	       134	80000200	0000	c.unimp	
           1365	       135	80000204	0000	c.unimp	
           1375	       136	80000208	0000	c.unimp	
           1385	       137	8000020c	0000	c.unimp	
           1395	       138	80000210	0000	c.unimp	
           1405	       139	80000214	0000	c.unimp	
           1415	       140	80000218	0000	c.unimp	
           1425	       141	8000021c	0000	c.unimp	
           1435	       142	80000220	0000	c.unimp	
           1445	       143	80000224	0000	c.unimp	
           1455	       144	80000228	0000	c.unimp	
           1465	       145	8000022c	0000	c.unimp	
           1475	       146	80000230	0000	c.unimp	
           1485	       147	80000234	0000	c.unimp	
           1495	       148	80000238	0000	c.unimp	
           1505	       149	8000023c	0000	c.unimp	
           1515	       150	80000240	0000	c.unimp	
           1525	       151	80000244	0000	c.unimp	
           1535	       152	80000248	0000	c.unimp	
           1545	       153	8000024c	0000	c.unimp	
           1555	       154	80000250	0000	c.unimp	
           1565	       155	80000254	0000	c.unimp	
           1575	       156	80000258	0000	c.unimp	
           1585	       157	8000025c	0000	c.unimp	
           1595	       158	80000260	0000	c.unimp	
           1605	       159	80000264	0000	c.unimp	
           1615	       160	80000268	0000	c.unimp	
           1625	       161	8000026c	0000	c.unimp	
           1635	       162	80000270	0000	c.unimp	
           1645	       163	80000274	0000	c.unimp	
           1655	       164	80000278	0000	c.unimp	
           1665	       165	8000027c	0000	c.unimp	
           1675	       166	80000280	0000	c.unimp	
           1685	       167	80000284	0000	c.unimp	
           1695	       168	80000288	0000	c.unimp	
           1705	       169	8000028c	0000	c.unimp	
           1715	       170	80000290	0000	c.unimp	
           1725	       171	80000294	0000	c.unimp	
           1735	       172	80000298	0000	c.unimp	
           1745	       173	8000029c	0000	c.unimp	
           1755	       174	800002a0	0000	c.unimp	
           1765	       175	800002a4	0000	c.unimp	
           1775	       176	800002a8	0000	c.unimp	
           1785	       177	800002ac	0000	c.unimp	
           1795	       178	800002b0	0000	c.unimp	
           1805	       179	800002b4	0000	c.unimp	
           1815	       180	800002b8	0000	c.unimp	
           1825	       181	800002bc	0000	c.unimp	
           1835	       182	800002c0	0000	c.unimp	
           1845	       183	800002c4	0000	c.unimp	
           1855	       184	800002c8	0000	c.unimp	
           1865	       185	800002cc	0000	c.unimp	
           1875	       186	800002d0	0000	c.unimp	
           1885	       187	800002d4	0000	c.unimp	
           1895	       188	800002d8	0000	c.unimp	
           1905	       189	800002dc	0000	c.unimp	
           1915	       190	800002e0	0000	c.unimp	
           1925	       191	800002e4	0000	c.unimp	
           1935	       192	800002e8	0000	c.unimp	
           1945	       193	800002ec	0000	c.unimp	
           1955	       194	800002f0	0000	c.unimp	
           1965	       195	800002f4	0000	c.unimp	
           1975	       196	800002f8	0000	c.unimp	
           1985	       197	800002fc	0000	c.unimp	
           1995	       198	80000300	0000	c.unimp	
           2005	       199	80000304	0000	c.unimp	
           2015	       200	80000308	0000	c.unimp	
           2025	       201	8000030c	0000	c.unimp	
           2035	       202	80000310	0000	c.unimp	
           2045	       203	80000314	0000	c.unimp	
           2055	       204	80000318	0000	c.unimp	
           2065	       205	8000031c	0000	c.unimp	
           2075	       206	80000320	0000	c.unimp	
           2085	       207	80000324	0000	c.unimp	
           2095	       208	80000328	0000	c.unimp	
           2105	       209	8000032c	0000	c.unimp	
           2115	       210	80000330	0000	c.unimp	
           2125	       211	80000334	0000	c.unimp	
           2135	       212	80000338	0000	c.unimp	
           2145	       213	8000033c	0000	c.unimp	
           2155	       214	80000340	0000	c.unimp	
           2165	       215	80000344	0000	c.unimp	
           2175	       216	80000348	0000	c.unimp	
           2185	       217	8000034c	0000	c.unimp	
           2195	       218	80000350	0000	c.unimp	
           2205	       219	80000354	0000	c.unimp	
           2215	       220	80000358	0000	c.unimp	
           2225	       221	8000035c	0000	c.unimp	
           2235	       222	80000360	0000	c.unimp	
